Code Language,Industry,Topic,Prompt ID,Model,Dimension,count_5s
Python,EdTech,Adaptive Quiz Engine,368,Chatgpt,Relevance,3
Python,EdTech,Adaptive Quiz Engine,368,Chatgpt,Correctness,0
Python,EdTech,Adaptive Quiz Engine,368,Chatgpt,Completeness,0
Python,EdTech,Adaptive Quiz Engine,368,Gemini,Relevance,3
Python,EdTech,Adaptive Quiz Engine,368,Gemini,Correctness,0
Python,EdTech,Adaptive Quiz Engine,368,Gemini,Completeness,0
Python,EdTech,Adaptive Quiz Engine,368,Claude,Relevance,3
Python,EdTech,Adaptive Quiz Engine,368,Claude,Correctness,1
Python,EdTech,Adaptive Quiz Engine,368,Claude,Completeness,3
Python,EdTech,Knowledge Graph Recommendations,369,Chatgpt,Relevance,2
Python,EdTech,Knowledge Graph Recommendations,369,Chatgpt,Correctness,1
Python,EdTech,Knowledge Graph Recommendations,369,Chatgpt,Completeness,0
Python,EdTech,Knowledge Graph Recommendations,369,Gemini,Relevance,3
Python,EdTech,Knowledge Graph Recommendations,369,Gemini,Correctness,2
Python,EdTech,Knowledge Graph Recommendations,369,Gemini,Completeness,0
Python,EdTech,Knowledge Graph Recommendations,369,Claude,Relevance,3
Python,EdTech,Knowledge Graph Recommendations,369,Claude,Correctness,1
Python,EdTech,Knowledge Graph Recommendations,369,Claude,Completeness,0
Python,FinTech,Credit‑Card Fraud Detection,367,Chatgpt,Relevance,2
Python,FinTech,Credit‑Card Fraud Detection,367,Chatgpt,Correctness,1
Python,FinTech,Credit‑Card Fraud Detection,367,Chatgpt,Completeness,1
Python,FinTech,Credit‑Card Fraud Detection,367,Gemini,Relevance,1
Python,FinTech,Credit‑Card Fraud Detection,367,Gemini,Correctness,1
Python,FinTech,Credit‑Card Fraud Detection,367,Gemini,Completeness,0
Python,FinTech,Credit‑Card Fraud Detection,367,Claude,Relevance,1
Python,FinTech,Credit‑Card Fraud Detection,367,Claude,Correctness,0
Python,FinTech,Credit‑Card Fraud Detection,367,Claude,Completeness,0
Python,FinTech,Option Pricing via Monte Carlo,366,Chatgpt,Relevance,2
Python,FinTech,Option Pricing via Monte Carlo,366,Chatgpt,Correctness,2
Python,FinTech,Option Pricing via Monte Carlo,366,Chatgpt,Completeness,2
Python,FinTech,Option Pricing via Monte Carlo,366,Gemini,Relevance,0
Python,FinTech,Option Pricing via Monte Carlo,366,Gemini,Correctness,0
Python,FinTech,Option Pricing via Monte Carlo,366,Gemini,Completeness,0
